Income Level,Scenario,Car %,Transit %,RideHail %,Active %,Trips
Very Low Income,baseline,45.5,28.8,1.4,24.3,"11,899"
Very Low Income,flat,37.1,32.3,1.7,28.9,"10,887"
Very Low Income,income-based,40.7,30.7,1.5,27.1,"11,576"
Low Income,baseline,52.4,27.7,2.1,17.8,"4,875"
Low Income,flat,43.7,32.3,2.2,21.8,"4,390"
Low Income,income-based,45.2,32.8,1.8,20.3,"4,472"
Moderate Income,baseline,54.1,27.3,1.7,16.9,"6,857"
Moderate Income,flat,44.3,32.4,1.9,21.5,"6,250"
Moderate Income,income-based,45.4,32.5,1.9,20.2,"6,303"
Medium Income,baseline,53.5,27.0,2.1,17.5,"2,476"
Medium Income,flat,43.8,32.8,2.2,21.2,"2,313"
Medium Income,income-based,45.4,32.3,1.9,20.4,"2,293"
High Income,baseline,53.1,26.8,2.1,18.0,"11,478"
High Income,flat,44.7,31.6,2.3,21.4,"10,589"
High Income,income-based,44.4,31.6,2.2,21.8,"10,533"
