toll,income_segment,total_diff,aggregated_inexus
baseline,High,0.0,0.0
baseline,Low,0.0,0.0
baseline,Middle,0.0,0.0
baseline,Moderate,0.0,0.0
baseline,Very Low,0.0,0.0
flat,High,-31871.89047450737,-82866915.23371916
flat,Low,-12671.271158904,-32945305.013150398
flat,Middle,-7742.491469921608,-20130477.821796183
flat,Moderate,-19373.697600721258,-50371613.76187527
flat,Very Low,-44178.46602622673,-114864011.6681895
income-based,High,-31525.34344463644,-81965892.95605475
income-based,Low,-12219.92445923047,-31771803.59399922
income-based,Middle,-6357.5782959841545,-16529703.569558801
income-based,Moderate,-16590.36173780365,-43134940.51828949
income-based,Very Low,-18790.19849656872,-48854516.09107867
